pokemon,usage,raw_usage,real_usage,total_battles
Mew,0.0331092,100246.0,0.07169528751851457,1398223.0
Silvally-Ice,0.000138,435.0,0.0003111091721420689,1398223.0
Hippowdon,0.0484476,144870.0,0.1036100822257966,1398223.0
Centiskorch,0.0027839,8770.0,0.00627224698778378,1398223.0
Bellossom,0.000869,2705.0,0.0019345984152742445,1398223.0
Perrserker,0.0006952,2167.0,0.0015498243127169272,1398223.0
Lurantis,0.0021831,6733.0,0.004815397829959885,1398223.0
Metagross,0.0111019,34407.0,0.024607662726188886,1398223.0
Calyrex,0.0001774,558.0,0.0003990779725408608,1398223.0
Lanturn,0.0016689,5079.0,0.003632467782320846,1398223.0
Silvally-Fire,0.0002278,703.0,0.0005027810299215505,1398223.0
Stakataka,0.0052781,15913.0,0.011380874152406304,1398223.0
Thwackey,0.0001416,434.0,0.0003103939786428917,1398223.0
Pelipper,0.0506042,152860.0,0.10932447828422219,1398223.0
Avalugg,0.0026652,8097.0,0.005790921762837544,1398223.0
Talonflame,0.0046938,14841.0,0.010614186721288377,1398223.0
Mr. Mime,0.0006326,1984.0,0.0014189439023675051,1398223.0
Barbaracle,0.0017018,5198.0,0.003717575808722929,1398223.0
Wailord,0.0008268,2595.0,0.001855927130364756,1398223.0
Chandelure,0.0113605,34835.0,0.024913765543836713,1398223.0
Ribombee,0.0100131,29892.0,0.02137856407740396,1398223.0
Tyrantrum,0.0030592,9398.0,0.006721388505267043,1398223.0
Gardevoir,0.0105638,33266.0,0.023791626943627735,1398223.0
Machoke,0.0001162,406.0,0.000290368560665931,1398223.0
Stunfisk,0.000761,2234.0,0.0015977422771617975,1398223.0
